,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedding,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.077000,0.077000,0.000000,9.739000,0.000000,199.316000,11.612000,0.000000,202.639000,143111.885000,13.340000,143098.545000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.077000,0.077000,0.000000,9.789000,0.000000,199.366000,11.662000,0.000000,202.689000,143111.935000,13.340000,143098.595000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Bottom_0,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.3320008.395000,0.2320008.395000,0.2060008.395000,0.00000010.258000,0.00000020098.678000,0.0000000.000000,0.00000010.258000,24229.04800020098.679000,0.0000000.000000,143111.88500020397.044000,61.515000,20335.529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.3320008.395000,0.2320008.395000,0.2060008.395000,0.00000010.258000,0.00000020098.778000,0.0000000.000000,0.00000010.258000,24229.04800020098.779000,0.0000000.000000,143111.93500020397.144000,61.515000,20335.629000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Bottom_1,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.6650001.9460008.395000,0.4650001.9460003.344000,0.6650001.9460008.395000,0.00000012.9760002218.401000,0.0000000.0000000.000000,0.00000023.2850000.000000,0.00000012.9760002218.401000,47861.87800018173.1150000.000000,0.00000025.2320000.000000,143111.88500020397.04400048054.050000,50.741000,48003.309000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.6650001.9460008.395000,0.4650001.9460003.344000,0.6650001.9460008.395000,0.00000012.9760002218.451000,0.0000000.0000000.000000,0.00000023.2850000.000000,0.00000012.9760002218.451000,47861.87800018173.1150000.000000,0.00000025.2320000.000000,143111.93500020397.14400048054.850000,50.741000,48004.109000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Bottom_2,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.6650001.9460001.9460003.380000,0.4650001.9460000.9480008.395000,0.6650001.9460001.9460000.000000,0.00000012.9760003858.3380000.000000,0.0000000.0000000.000000259494.417000,0.00000023.2850003467.4250000.000000,0.00000012.9760003858.3380000.000000,59583.39000016735.1890000.000000259494.418000,0.00000025.2320003468.3740000.000000,143111.88500020397.04400048054.0500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.6650001.9460001.9460003.380000,0.4650001.9460000.9480008.395000,0.6650001.9460001.9460000.000000,0.00000012.9760003858.3880000.000000,0.0000000.0000000.000000259494.417000,0.00000023.2850003467.5250000.000000,0.00000012.9760003858.3880000.000000,59583.39000016735.1890000.000000259494.418000,0.00000025.2320003468.4740000.000000,143111.93500020397.14400048054.8500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP_Bottom_3,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Ring.json-sample_3dim_sys.txt-100-16 64-6 1-25 100-1,0.2070003.6770001.9460000.898000,0.2070003.6770000.8980001.946000,0.3320003.6770001.9460000.948000,0.00000028.8990003858.3380000.000000,0.0000000.0000000.0000000.000000,0.00000052.7830003467.4750000.000000,0.00000028.8990003858.3380000.000000,83933.77800015327.4260000.000000260976.802000,0.00000056.4610003468.3740000.000000,143111.88500020397.04400048054.0500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_3d-DLRM_HybridParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_HybridParallel_Data_Model.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-MLP_ModelParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1DDL_3d-Resnet50_DataParallel.txt-Ring_FullyConnected_Switch.json-sample_3dim_sys.txt-100-16 8 8-4 4 1-25 25 100-1,0.2070003.6770001.9460000.898000,0.2070003.6770000.8980001.946000,0.3320003.6770001.9460000.948000,0.00000028.8990003858.3880000.000000,0.0000000.0000000.0000000.000000,0.00000052.7830003467.5750000.000000,0.00000028.8990003858.3880000.000000,83933.77800015327.4260000.000000260976.802000,0.00000056.4610003468.4740000.000000,143111.93500020397.14400048054.8500004567110.068000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
