,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_2_mlp0,DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,8.395000,8.395000,8.395000,354.461000,320.443000,0.000000,354.461000,320.444000,0.000000,5036.604000,61.515000,4975.089000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,8.395000,8.395000,8.395000,529.629000,39.230000,0.000000,529.629000,39.231000,0.000000,7075.467000,61.515000,7013.952000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,8.395000,8.395000,8.395000,266.781000,193.510000,0.000000,266.781000,193.511000,0.000000,3869.730000,61.515000,3808.215000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,8.395000,8.395000,8.395000,143.581000,178.327000,0.000000,143.581000,178.328000,0.000000,2432.350000,61.515000,2370.835000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,8.395000,8.395000,8.395000,45.725000,26.858000,0.000000,45.725000,26.859000,0.000000,823.479000,61.515000,761.964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,8.395000,8.395000,8.395000,31.709000,56.213000,0.000000,31.709000,56.214000,0.000000,609.954000,61.515000,548.439000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-150-16 64-6 1-25 100-1,8.395000,8.395000,8.395000,529.629000,490.181000,0.000000,529.629000,490.182000,0.000000,7529.212000,61.515000,7467.697000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,8.395000,8.395000,8.395000,792.477000,56.657000,0.000000,792.477000,56.658000,0.000000,10574.750000,61.515000,10513.235000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,8.395000,8.395000,8.395000,398.173000,303.558000,0.000000,398.173000,303.559000,0.000000,5783.059000,61.515000,5721.544000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,8.395000,8.395000,8.395000,213.661000,132.669000,0.000000,213.661000,132.670000,0.000000,3383.100000,61.515000,3321.585000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
