RunName,CommsTime,ComputeTime,ExposedCommsTime,Cost,TotalPayloadSize,PayloadSize_Dim0,PayloadSize_Dim1,PayloadSize_Dim2,PayloadSize_Dim3,PayloadSize_Dim4,PayloadSize_Dim5,PayloadSize_Dim6
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,5036.604000,61.515000,4975.089000,896842.000000,796.979614,713.012695,83.966919,-1,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,7075.467000,61.515000,7013.952000,1205218.000000,796.979614,713.012695,41.983459,41.983459,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,3869.730000,61.515000,3808.215000,1153414.000000,796.979614,713.012695,56.269527,27.697392,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,2432.350000,61.515000,2370.835000,1000148.000000,451.552162,366.918945,55.915403,28.717813,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,823.479000,61.515000,761.964000,1409414.000000,271.506531,186.547852,47.544035,24.709480,12.705164,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,609.954000,61.515000,548.439000,1537748.000000,271.506375,186.547852,35.046576,29.487482,20.424465,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-150-16 64-6 1-25 100-1,7529.212000,61.515000,7467.697000,896842.000000,1195.473328,1069.519043,125.954285,-1,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-150-16 8 8-4 4 1-25 25 100-1,10574.750000,61.515000,10513.235000,1205218.000000,1195.473328,1069.519043,62.977142,62.977142,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-150-16 8 8-8 4 1-25 25 50-1,5783.059000,61.515000,5721.544000,1153414.000000,1195.473328,1069.519043,84.406885,41.547400,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-150-8 16 8-7 4 1-25 25 50-1,3383.100000,61.515000,3321.585000,1000148.000000,677.332056,550.378418,83.875523,43.078115,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-150-4 4 8 8-2 8 4 1-125 25 25 50-1,1206.577000,61.515000,1145.062000,1409414.000000,407.267700,279.821777,71.320496,37.066492,19.058935,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-150-4 8 4 8-2 7 6 1-187.5 25 25 100-1,889.615000,61.515000,828.100000,1537748.000000,407.267632,279.821777,52.600803,44.123726,30.721326,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-2d_switch.json-2d_switch_themis_scf.txt-200-16 64-6 1-25 100-1,10021.948000,61.515000,9960.433000,896842.000000,1593.963196,1426.025391,167.937805,-1,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-200-16 8 8-4 4 1-25 25 100-1,14073.262000,61.515000,14011.747000,1205218.000000,1593.963196,1426.025391,83.968903,83.968903,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-200-16 8 8-8 4 1-25 25 50-1,7658.338000,61.515000,7596.823000,1153414.000000,1593.963196,1426.025391,112.541666,55.396139,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-200-8 16 8-7 4 1-25 25 50-1,4677.137000,61.515000,4615.622000,1000148.000000,903.104404,733.837891,111.830807,57.435707,-1,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-200-4 4 8 8-2 8 4 1-125 25 25 50-1,1598.577000,61.515000,1537.062000,1409414.000000,543.028809,373.095703,95.096961,49.429633,25.406511,-1,-1,-1
DDL_themis-MLP_HybridParallel_Data_Model.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-200-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1121.381000,61.515000,1059.866000,1537748.000000,543.028775,373.095703,70.118214,58.851854,40.963004,-1,-1,-1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
