,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp0,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,8.395000,3.344000,8.395000,35337.677000,0.000000,0.000000,35337.677000,0.000000,0.000000,420381.492000,50.741000,420330.751000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,8.395000,3.344000,8.395000,12626.919000,0.000000,0.000000,12626.919000,0.000000,0.000000,149587.806000,50.741000,149537.065000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,8.395000,3.344000,8.395000,15100.574000,0.000000,0.000000,15100.574000,0.000000,0.000000,178004.417000,50.741000,177953.676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,8.395000,3.344000,8.395000,17279.367000,0.000000,0.000000,17279.367000,0.000000,0.000000,205591.323000,50.741000,205540.582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,8.395000,3.344000,8.395000,7432.748000,0.000000,0.000000,7432.748000,0.000000,0.000000,91400.806000,50.741000,91350.065000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,8.395000,3.344000,8.395000,5843.941000,0.000000,0.000000,5843.941000,0.000000,0.000000,71292.711000,50.741000,71241.970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp1,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,1.946000,0.948000,1.946000,61534.777000,0.000000,71.871000,61534.777000,0.000000,72.820000,420381.492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,1.946000,0.948000,1.946000,21190.028000,0.000000,51.676000,21190.028000,0.000000,52.625000,149587.806000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,1.946000,0.948000,1.946000,24595.654000,0.000000,36.086000,24595.654000,0.000000,37.035000,178004.417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,1.946000,0.948000,1.946000,30000.721000,0.000000,49.296000,30000.721000,0.000000,50.245000,205591.323000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
