,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,network delay phase 1,network delay phase 2,,,,,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp0,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,172.872000,17215.600500,1.370750,92.001333,,,,,4.372125,410.328438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,53.462063,615.905625,5641.376594,1.533849,16.001918,154.521281,,,,,,,132.134484,139.337642,145.410124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,87.001219,3634.030516,2972.182438,1.950943,15.568417,137.134305,,,,,,,112.358738,125.704780,132.933681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,98.277172,4369.680781,3948.792625,2.048906,15.858495,217.770172,,,,,,,107.993503,140.959486,173.876449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,65.541750,245.247203,2029.557203,1010.802328,1.691203,8.830286,35.281620,103.063133,,,,,,,,,62.155744,72.355393,74.856094,83.873603,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,34.502297,102.238125,1803.873297,947.412563,1.208198,7.172130,33.715958,104.559500,,,,,,,,,48.320025,54.686490,53.336913,59.989525,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp1,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,156.636805,14990.626805,13.351562,5.142406,1.269422,80.113557,0.004141,0.076547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,49.573242,538.770766,4888.881125,0.000000,8.497195,2.473234,1.445176,13.753689,134.113161,0.001899,0.014079,0.131292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,84.334594,2471.613891,2812.796680,0.000000,5.080367,3.318633,1.841846,12.261640,114.523560,0.002378,0.012166,0.112576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,89.494203,3778.162375,3187.680719,0.000000,8.898750,2.371875,1.923427,14.896539,188.353263,0.002122,0.014836,0.189419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,55.313867,247.817867,2184.301617,1240.492352,0.000000,0.120195,3.640234,0.791570,1.516595,8.178128,32.127241,80.238625,0.002245,0.007576,0.028572,0.083273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,33.653750,95.590344,1705.740117,1023.691906,0.000000,0.109711,2.750781,0.639984,1.124120,6.374091,30.810068,85.069464,0.001292,0.005914,0.033750,0.079112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_mlp2,DDL_themis-MLP_ModelParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,156.636805,14990.626805,13.351562,5.142406,1.269422,80.113557,0.004141,0.076547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,51.689742,536.423969,4912.288914,0.000000,8.497195,2.473234,1.466287,13.947405,134.550261,0.001899,0.014079,0.131292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-MLP_ModelParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,80.040453,3164.524773,2588.252477,0.000000,5.080367,3.318633,1.810799,13.567981,119.411141,0.002378,0.012166,0.112576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
