,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,3.380000,8.395000,0.000000,0.000000,73593.342000,0.000000,0.000000,73593.343000,0.000000,110980.125000,281.346000,110698.779000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,3.380000,8.395000,0.000000,0.000000,60232.519000,0.000000,0.000000,60232.520000,0.000000,79998.355000,281.346000,79717.009000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,3.380000,8.395000,0.000000,0.000000,51950.853000,0.000000,0.000000,51950.854000,0.000000,68943.107000,281.346000,68661.761000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,3.380000,8.395000,0.000000,0.000000,55056.363000,0.000000,0.000000,55056.364000,0.000000,75563.897000,281.346000,75282.551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,3.380000,8.395000,0.000000,0.000000,29306.299000,0.000000,0.000000,29306.300000,0.000000,35617.193000,281.346000,35335.847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,3.380000,8.395000,0.000000,0.000000,21011.588000,0.000000,0.000000,21011.589000,0.000000,26758.441000,281.346000,26477.095000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,73712.318000,0.000000,110980.125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,60293.337000,0.000000,79998.355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,52017.669000,0.000000,68943.107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,55084.784000,0.000000,75563.897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.898000,1.946000,0.948000,0.000000,0.000000,0.000000,0.000000,29323.227000,0.000000,35617.193000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
