,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,7.696344,0.262516,59967.011266,35.260375,0.088625,0.005615,0.005510,0.087938,10.851228,11.221338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,6.466609,0.329531,0.231656,0.000000,44647.508344,23.140984,0.151234,0.017134,0.003246,0.003246,0.016632,0.149927,9.355148,9.161410,8.976430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,13.892734,8.776125,15.056313,0.000000,41044.756562,53.521781,0.129875,0.014944,0.003806,0.003806,0.014523,0.128589,7.811022,7.951587,7.854391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,16.128984,8.082172,14.546922,0.000000,42400.750813,54.125922,0.217807,0.017646,0.003302,0.003302,0.017141,0.216021,8.336724,8.486169,8.841013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,15.947578,7.374406,6.750063,18.437172,0.000219,0.274187,21911.123453,18.844297,0.096604,0.033609,0.008333,0.003766,0.003766,0.008156,0.032862,0.096000,4.535760,4.589616,4.712460,4.553889,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,2.722891,0.170609,0.107484,0.100844,0.000000,0.096609,17541.547891,6.843500,0.099031,0.030974,0.008844,0.002625,0.002625,0.008510,0.030609,0.098401,3.415086,3.405284,3.549777,3.426423,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,28.137359,0.384766,59956.402188,139.641188,0.153094,0.008281,0.008281,0.153094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,23.028063,0.447250,0.373766,0.000000,44640.359297,64.027594,0.262583,0.028158,0.003798,0.003798,0.028158,0.262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,26.995969,8.856281,15.293344,0.000000,41042.291766,101.133313,0.225151,0.024332,0.004755,0.004755,0.024332,0.225151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,30.247672,8.558125,13.728094,0.000000,42399.267813,106.992016,0.378839,0.029672,0.004245,0.004245,0.029672,0.378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
