,,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,wg total comm,ig total comm,workload finished at,total comp,total exposed comm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embedding,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.077000,0.000000,0.000000,15625.418000,0.000000,0.000000,15625.418000,0.000000,0.000000,2558354.119000,142724.975000,2415629.144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.077000,0.000000,0.000000,23437.898000,0.000000,0.000000,23437.898000,0.000000,0.000000,2944006.836000,142724.975000,2801281.861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.077000,0.000000,0.000000,11719.178000,0.000000,0.000000,11719.178000,0.000000,0.000000,1764850.013000,142724.975000,1622125.038000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.077000,0.000000,0.000000,31250.186000,0.000000,0.000000,31250.186000,0.000000,0.000000,9537096.170000,142724.975000,9394371.195000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.077000,0.000000,0.000000,9375.434000,0.000000,0.000000,9375.434000,0.000000,0.000000,1722272.518000,142724.975000,1579547.543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.077000,0.000000,0.000000,6250.442000,0.000000,0.000000,6250.442000,0.000000,0.000000,1451207.825000,142724.975000,1308482.850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,7235.199000,0.000000,297235.689000,7814.538000,2558354.119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,11141.375000,0.000000,58116.022000,11720.714000,2944006.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,5281.919000,0.000000,86738.614000,5861.258000,1764850.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,15047.167000,0.000000,5681903.557000,15626.506000,9537096.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,4112.511000,0.000000,277017.554000,4691.850000,1722272.518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,2550.015000,0.000000,365499.826000,3129.354000,1451207.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K1,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,298857.995000,0.000000,2558354.119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,60356.311000,0.000000,2944006.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,88307.507000,0.000000,1764850.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,5683899.696000,0.000000,9537096.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,279868.212000,0.000000,1722272.518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,367129.758000,0.000000,1451207.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1,DDL_themis-Transformer_HybridParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,300480.301000,0.000000,2558354.119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,63435.854000,0.000000,2944006.836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,90730.910000,0.000000,1764850.013000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,5685895.835000,0.000000,9537096.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,280155.340000,0.000000,1722272.518000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Transformer_HybridParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,817.889000,579.338000,562.298000,0.000000,0.000000,0.000000,0.000000,361435.280000,0.000000,1451207.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
