 time (us) ,dim1 util,dim2 util,dim3 util,dim4 util,
10.000000,100.000000,100.000000,100.000000,100.000000,
20.000000,100.000000,100.000000,100.000000,100.000000,
30.000000,100.000000,100.000000,100.000000,100.000000,
40.000000,100.000000,100.000000,100.000000,100.000000,
50.000000,100.000000,100.000000,100.000000,100.000000,
60.000000,100.000000,100.000000,100.000000,100.000000,
70.000000,100.000000,100.000000,100.000000,100.000000,
80.000000,100.000000,100.000000,100.000000,100.000000,
90.000000,100.000000,100.000000,100.000000,100.000000,
100.000000,100.000000,100.000000,100.000000,100.000000,
110.000000,100.000000,100.000000,100.000000,100.000000,
120.000000,100.000000,100.000000,100.000000,100.000000,
130.000000,86.370000,100.000000,100.000000,100.000000,
140.000000,100.000000,100.000000,100.000000,100.000000,
150.000000,100.000000,100.000000,100.000000,100.000000,
160.000000,100.000000,100.000000,100.000000,100.000000,
170.000000,100.000000,100.000000,100.000000,100.000000,
180.000000,100.000000,100.000000,100.000000,100.000000,
190.000000,100.000000,100.000000,100.000000,100.000000,
200.000000,100.000000,100.000000,100.000000,100.000000,
210.000000,100.000000,100.000000,100.000000,100.000000,
220.000000,100.000000,100.000000,100.000000,100.000000,
230.000000,27.490000,100.000000,100.000000,100.000000,
240.000000,55.560000,72.660000,100.000000,100.000000,
250.000000,80.720000,48.100000,100.000000,38.700000,
,,,,
