RunName,DimensionIndex,AverageChunkLatency
DDL_themis-microAllReduce.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0,6.027125
DDL_themis-microAllReduce.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,1,6.234750
,,
,,
,,
,,
,,
,,
,,
,,
DDL_themis-microAllReduce.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0,5.197047
DDL_themis-microAllReduce.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,1,5.088297
DDL_themis-microAllReduce.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,2,4.985656
,,
,,
,,
,,
,,
,,
,,
DDL_themis-microAllReduce.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0,4.339484
DDL_themis-microAllReduce.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,1,4.416938
DDL_themis-microAllReduce.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,2,4.363141
,,
,,
,,
,,
,,
,,
,,
DDL_themis-microAllReduce.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0,4.628344
DDL_themis-microAllReduce.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,1,4.720609
DDL_themis-microAllReduce.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,2,4.910766
,,
,,
,,
,,
,,
,,
,,
DDL_themis-microAllReduce.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0,2.518187
DDL_themis-microAllReduce.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,1,2.549781
DDL_themis-microAllReduce.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,2,2.619141
DDL_themis-microAllReduce.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,3,2.531250
,,
,,
,,
,,
,,
,,
DDL_themis-microAllReduce.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0,1.896813
DDL_themis-microAllReduce.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,1,1.891219
DDL_themis-microAllReduce.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,2,1.972094
DDL_themis-microAllReduce.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,3,1.905234
,,
,,
,,
,,
,,
,,
